'Reference';'Value';'Footprint';'Datasheet';'Qty';'DNP';'Exclude from BOM';'Exclude from Board'
'C1';'100n';'ukmarsbot:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02';'~';'1';'';'';''
'C2,C3';'330uF, 16V';'Capacitor_THT:CP_Radial_D8.0mm_P2.50mm';'~';'2';'';'';''
'D1';'1N5401';'Diode_THT:D_DO-201AD_P15.24mm_Horizontal';'~';'1';'';'';''
'D3';'1N4148';'Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal';'https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf';'1';'';'';''
'H1,H2,H3,H4,H5,H6';'MountingHole';'ukmarsbot:MountingHole_3.2mm_M3_clearance';'~';'6';'';'';''
'IC1';'74HC86';'Package_DIP:DIP-14_W7.62mm_LongPads';'http://www.ti.com/lit/gpn/sn74HC86';'1';'';'';''
'J1';'SENSORS';'ukmarsbot:1X14_LOCK_LONGPADS';'';'1';'';'';''
'J2,J3';'CONN_06SILK_FEMALE_PTH';'ukmarsbot:1X06_LOCK_LONGPADS';'';'2';'';'';''
'J4';'POWER';'Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical';'~';'1';'';'';''
'J5';'SERIAL';'ukmarsbot:1X04_LOCK_LONGPADS';'';'1';'';'';''
'M1';'Left Motor';'ukmarsbot:MINI-METAL-GEARMOTOR-WITH-BRACKET';'~';'1';'';'';''
'M2';'Right Motor';'ukmarsbot:MINI-METAL-GEARMOTOR-WITH-BRACKET';'~';'1';'';'';''
'R1,R2,R10';'10k';'ukmarsbot:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_BIGPAD';'~';'3';'';'';''
'R3,R11';'4k7';'ukmarsbot:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_BIGPAD';'~';'2';'';'';''
'R4';'2k2';'ukmarsbot:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_BIGPAD';'~';'1';'';'';''
'R5';'1k0';'ukmarsbot:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_BIGPAD';'~';'1';'';'';''
'R6';'470';'ukmarsbot:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_BIGPAD';'~';'1';'';'';''
'R7,R8';'15k';'ukmarsbot:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_BIGPAD';'~';'2';'';'';''
'S1';'sub-miniature, SPDT';'ukmarsbot:SW_MINI-SPDT-RTECH-78-0564';'https://static.rapidonline.com/pdf/560602t_v1.pdf';'1';'';'';''
'S2';'BUTTON';'ukmarsbot:TACTILE_SWITCH_PTH_6.0MM';'';'1';'';'';''
'S3';'DIP-SW';'ukmarsbot:SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile';'';'1';'';'';''
'U1';'Arduino_Nano';'ukmarsbot:Arduino_Nano';'https://store.arduino.cc/usa/arduino-nano';'1';'';'';''
'U2';'TB6612FNG-Module';'ukmarsbot:TB6612FNG-module';'https://cdn.shopify.com/s/files/1/0174/1800/files/TB6612FNG_3e2152f9-ac47-436b-bb2d-0abf1ce342e0.pdf?15448876658223299941';'1';'';'';''
